title:subject7, start timestamp:1692954131.289985, stop timestamp:1692954325.716180, headset type:EPOCFLEX, headset serial:F000005B, headset firmware:f14, channels:111, sampling rate:eeg_128, samples:24886     , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.Cz,EEG.Fz,EEG.Fp1,EEG.F7,EEG.F3,EEG.FC1,EEG.C3,EEG.FC5,EEG.FT9,EEG.T7,EEG.CP5,EEG.CP1,EEG.P3,EEG.P7,EEG.PO9,EEG.O1,EEG.Pz,EEG.Oz,EEG.O2,EEG.PO10,EEG.P8,EEG.P4,EEG.CP2,EEG.CP6,EEG.T8,EEG.FT10,EEG.FC6,EEG.C4,EEG.FC2,EEG.F4,EEG.F8,EEG.Fp2,EEG.HighBitFlex,EEG.SaturationFlag,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.Cz,CQ.Fz,CQ.Fp1,CQ.F7,CQ.F3,CQ.FC1,CQ.C3,CQ.FC5,CQ.FT9,CQ.T7,CQ.CP5,CQ.CP1,CQ.P3,CQ.P7,CQ.PO9,CQ.O1,CQ.Pz,CQ.Oz,CQ.O2,CQ.PO10,CQ.P8,CQ.P4,CQ.CP2,CQ.CP6,CQ.T8,CQ.FT10,CQ.FC6,CQ.C4,CQ.FC2,CQ.F4,CQ.F8,CQ.Fp2,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.Cz,EQ.Fz,EQ.Fp1,EQ.F7,EQ.F3,EQ.FC1,EQ.C3,EQ.FC5,EQ.FT9,EQ.T7,EQ.CP5,EQ.CP1,EQ.P3,EQ.P7,EQ.PO9,EQ.O1,EQ.Pz,EQ.Oz,EQ.O2,EQ.PO10,EQ.P8,EQ.P4,EQ.CP2,EQ.CP6,EQ.T8,EQ.FT10,EQ.FC6,EQ.C4,EQ.FC2,EQ.F4,EQ.F8,EQ.Fp2
1692954131.289985,1692954131.326085,52.000000,0.000000,18.602379,95.463760,-15.748960,115.703926,54.984898,11.804377,171.210297,109.350708,72.051064,49.875259,92.328461,24.412281,80.991325,17.809204,-13.388325,0.094979,21.571768,91.244995,2.991017,52.596226,-6.854859,3.255773,-8.058340,35.251373,183.791779,-197.070282,-64.209305,32.642925,18.534822,58.910923,-287.479797,122.839478,2816.000000,1090519168.000000,0.000000,2.000000,41.000000,,,,0.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,2.000000,4.000000,4.000000,50.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1692954131.297798,1692954131.333998,53.000000,0.000000,11.923776,85.634445,-24.954750,118.149765,45.708374,-1.527428,139.788315,106.679825,75.565163,82.613075,59.960743,11.067869,67.590332,16.254473,-20.547245,3.168731,18.476351,86.542976,-3.159667,42.809784,-10.434157,-2.382867,-9.074897,46.486889,151.332611,-193.799377,-61.071247,39.270283,19.028595,60.388935,-254.404617,117.081253,4096.000000,1090520576.000000,0.000000,2.000000,41.000000,,,,0.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,2.000000,4.000000,4.000000,50.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1692954131.305611,1692954131.341811,54.000000,0.000000,18.059546,84.011887,-18.269794,139.548538,34.391895,-9.722823,127.353134,105.548531,84.198830,98.412003,71.683861,18.741417,78.281204,18.287449,-12.842082,23.145561,29.216335,106.436440,14.774262,51.988510,-3.763724,12.476439,4.766486,61.297325,118.905884,-181.822495,-44.616329,56.137165,33.354183,78.771622,-286.425598,128.234940,1280.000000,1090519040.000000,0.000000,2.000000,41.000000,,,,0.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,2.000000,4.000000,4.000000,50.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1692954131.313424,1692954131.349723,55.000000,0.000000,22.139946,85.464798,-12.616140,147.093597,29.234426,-6.639254,117.491936,88.024521,90.774635,108.047440,89.030640,21.796522,91.010620,16.732239,-8.218471,23.122416,41.994812,109.403847,19.370258,62.694984,-1.710729,19.123962,11.421720,54.576027,86.511597,-158.074524,-33.813251,65.302567,47.153137,81.254387,-253.351486,135.279022,4224.000000,1090519040.000000,0.000000,2.000000,41.000000,,,,0.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,2.000000,4.000000,4.000000,50.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1692954131.321237,1692954131.357536,56.000000,0.000000,13.408576,81.280876,-22.337370,138.749588,16.397501,-14.829538,103.542137,55.661110,101.954628,129.968613,56.666222,6.917802,77.599609,5.957044,-20.505636,-0.466860,38.366665,86.752907,-2.678344,45.726135,-15.541326,11.420223,0.651836,51.447605,86.937393,-139.473373,-41.464054,57.040340,39.421368,72.463905,-220.310440,125.409889,4096.000000,1073742976.000000,0.000000,2.000000,41.000000,,,,0.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,2.000000,4.000000,4.000000,50.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1692954131.329050,1692954131.365449,57.000000,0.000000,32.862858,91.445747,-8.995032,106.335457,46.607258,8.239138,136.226288,88.393143,99.803444,106.784805,66.343399,32.013962,89.305084,13.123395,-16.898977,8.755145,48.574451,93.326149,7.058181,45.680408,-12.451939,26.265726,15.508107,72.913078,90.436607,-129.087738,-41.422588,70.303299,48.603485,86.223747,-233.410126,131.432175,4096.000000,200.000000,0.000000,2.000000,41.000000,,,,0.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,2.000000,4.000000,4.000000,50.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1692954131.336863,1692954131.373262,58.000000,0.000000,58.445381,100.063530,6.383193,73.953735,76.274498,38.457054,168.877762,121.092438,89.457481,80.550331,99.064751,64.769638,119.954239,32.577965,4.122538,39.484852,70.555107,119.872826,37.789585,71.250114,6.003591,44.170231,37.521832,80.524780,112.887711,-110.515572,-24.475012,90.725304,71.608727,97.920601,-200.389023,141.034592,4096.000000,1073745096.000000,0.000000,2.000000,41.000000,,,,0.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,2.000000,4.000000,4.000000,50.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1692954131.344676,1692954131.381175,59.000000,0.000000,35.333092,79.983467,-11.041652,80.027473,43.922836,7.167826,136.433487,88.695961,91.417259,113.257469,83.084145,38.577179,101.903519,24.860771,1.556876,29.199213,61.263012,112.580643,31.091795,66.055786,4.460664,29.269136,15.967385,55.341183,145.562515,-122.700439,-31.110537,66.043808,51.044811,78.867294,-167.400955,126.548935,4096.000000,1090519760.000000,0.000000,2.000000,41.000000,,,,0.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,2.000000,4.000000,4.000000,50.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1692954131.352489,1692954131.388988,60.000000,0.000000,16.342373,69.145027,-14.616764,75.848984,30.046606,-14.356265,114.780136,94.754959,89.788918,123.902672,50.725681,16.509369,78.235458,8.954371,-12.789296,9.190014,42.246365,101.197296,15.691472,49.083576,-0.666874,18.481405,-0.954736,46.064301,152.589264,-154.853134,-50.034813,45.485458,31.013765,68.542274,-192.336624,122.836235,4096.000000,33555456.000000,0.000000,2.000000,41.000000,,,,0.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,2.000000,4.000000,4.000000,50.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1692954131.360302,1692954131.396901,61.000000,0.000000,36.306030,82.908188,3.840930,43.497749,62.804253,16.908861,147.453049,127.447899,81.502205,91.503387,70.142647,35.448246,95.575684,16.117725,-11.239583,21.988516,49.888733,113.903793,24.897320,62.354492,8.043024,31.782925,18.001604,68.047470,150.899750,-141.890579,-32.054008,71.055359,54.036598,82.818344,-168.578140,136.033401,4096.000000,728.000000,0.000000,2.000000,41.000000,,,,0.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,2.000000,4.000000,4.000000,50.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
